Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% utility low higher/better,% equal/tie/NA,Scale,Definition,Source file
Translation,Generic text feature,Words,words,Full paired dataset,2100,7,-0.2571428571428571,-0.7957380952380952,0.1161904761904761,-0.3,"[-0.8, 0.1]",False,No clear difference,-0.0019015838692628068,2100,"+0.00 (n=2,100)",39.3%,41.1%,19.6%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_feature_deltas_by_task.csv
Translation,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,-0.1117547822364413,-0.4738694173975965,0.24154754917502,-0.11,"[-0.47, 0.24]",False,No clear difference,0.006676495433094013,2100,"+0.01 (n=2,100)",16.7%,16.4%,67.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_feature_deltas_by_task.csv
Translation,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.0471804171329815,-0.0632713013160167,0.1782553256172578,0.05,"[-0.06, 0.18]",False,No clear difference,0.001459818691145609,2100,"+0.00 (n=2,100)",46.2%,46.0%,7.7%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_feature_deltas_by_task.csv
Translation,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,2100,7,-0.0464910204316134,-0.8796170460401938,0.7642453117707722,-0.05,"[-0.88, 0.76]",False,No clear difference,-0.03382808068465538,2100,"-0.03 (n=2,100)",33.2%,34.6%,32.2%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_feature_deltas_by_task.csv
Translation,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,-0.0087917018580074,-0.0268503327014822,0.0030889763284891,-0.009,"[-0.027, 0.003]",False,No clear difference,,0,,1.2%,1.5%,97.3%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_feature_deltas_by_task.csv
Translation,Generic text feature,Paragraphs,paragraphs,Full paired dataset,2100,7,-0.0019047619047619,-0.0071428571428571,0.0014285714285714,0.0,"[0.0, 0.0]",False,No clear difference,-0.051746730390095745,2100,"-0.05 (n=2,100)",0.0%,0.1%,99.9%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_feature_deltas_by_task.csv
Translation,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0008696602016184,-0.0009717277649322,0.0031396297326315,0.0009,"[-0.0010, 0.0031]",False,No clear difference,0.058493443136574945,2100,"+0.06 (n=2,100)",44.1%,43.8%,12.1%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_feature_deltas_by_task.csv
Translation,LLM rubric marker,Terminology precision,terminology_precision,Random actor-balanced A/B-coded sample,120,7,-0.1092436974789915,-0.1764705882352941,-0.0504201680672268,-0.11,"[-0.18, -0.05]",True,Higher for utility low,0.3143777848006559,120,+0.31 (n=120),10.8%,21.7%,67.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which translation uses more domain-appropriate terminology?,outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Fluency/idiomaticity,fluency_idiomaticity,Random actor-balanced A/B-coded sample,120,7,-0.0919701213818861,-0.184407096171802,0.0,-0.09,"[-0.18, 0.00]",False,No clear difference,0.47028356709794733,120,+0.47 (n=120),21.7%,30.8%,47.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which translation reads more naturally and idiomatically in English?,outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Numeric/factual fidelity,numeric_factual_fidelity,Random actor-balanced A/B-coded sample,120,7,-0.0168067226890756,-0.0504201680672268,0.0,-0.02,"[-0.05, 0.00]",False,No clear difference,-0.20427909041314832,120,-0.20 (n=120),0.0%,1.7%,98.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
