Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Incident postmortem,LLM rubric marker,Blameless systems framing,blameless_systems_framing,Random actor-balanced A/B-coded sample,120,7,-0.0835667600373482,-0.1764705882352941,0.0004668534080298,-0.08,"[-0.18, 0.00]",False,No clear difference,0.23735349286904867,119,+0.24 (n=119),5.0%,13.3%,81.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem avoids individual blame while still giving a candid causal account?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,970,7,-0.9001125876198053,-1.6391115486197163,-0.08051592601389,-0.90,"[-1.64, -0.08]",True,Higher for R0,-0.06612612142129116,970,-0.07 (n=970),32.2%,35.3%,32.6%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,970,7,-0.7858968881507131,-1.3118612525266218,-0.2562342661376998,-0.79,"[-1.31, -0.26]",True,Higher for R0,0.07733580548106425,970,+0.08 (n=970),14.9%,16.3%,68.8%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,970,7,-0.2300907909652824,-0.4904769987051737,0.025298853905706,-0.23,"[-0.49, 0.03]",False,No clear difference,-0.02685880711125013,970,-0.03 (n=970),44.1%,49.8%,6.1%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Words,words,Full paired dataset,970,7,0.0935093659898397,-0.1689428145502184,0.3570644570491502,0.1,"[-0.2, 0.4]",False,No clear difference,0.021861640156539113,970,+0.02 (n=970),40.6%,40.2%,19.2%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,970,7,-0.0031474679301946,-0.0094270928918108,0.0041511943856837,-0.003,"[-0.009, 0.004]",False,No clear difference,-0.006403263172393847,970,-0.01 (n=970),1.5%,1.6%,96.8%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Paragraphs,paragraphs,Full paired dataset,970,7,0.0021182617700822,0.0,0.0043620501635768,0.0,"[0.0, 0.0]",False,No clear difference,-0.05750084186028999,970,-0.06 (n=970),0.2%,0.1%,99.7%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,970,7,-0.0002166266817511,-0.0033446926659585,0.0032415755681654,-0.0002,"[-0.0033, 0.0032]",False,No clear difference,0.03302173079602792,970,+0.03 (n=970),45.7%,43.4%,10.9%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Translation,LLM rubric marker,Fluency/idiomaticity,fluency_idiomaticity,Random actor-balanced A/B-coded sample,120,7,-0.0518207282913165,-0.2184873949579831,0.0994397759103641,-0.05,"[-0.22, 0.10]",False,No clear difference,0.45157333373643943,120,+0.45 (n=120),30.0%,35.0%,35.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which translation reads more naturally and idiomatically in English?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Named-entity fidelity,named_entity_fidelity,Random actor-balanced A/B-coded sample,120,7,0.0504201680672268,0.0,0.1008403361344537,0.05,"[0.00, 0.10]",False,No clear difference,0.3282002425378806,120,+0.33 (n=120),15.8%,10.8%,73.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which translation better handles names, organizations, places, titles, acronyms, and transliterations?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Avoids additions/omissions,additions_omissions,Random actor-balanced A/B-coded sample,120,7,0.0336134453781512,-0.0084033613445378,0.0672268907563025,0.03,"[-0.01, 0.07]",False,No clear difference,0.12510591537954444,120,+0.13 (n=120),5.8%,2.5%,91.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which translation has fewer unsupported additions and fewer omissions of source meaning?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Structural clarity,structural_clarity,Random actor-balanced A/B-coded sample,120,7,0.0233426704014939,-0.1260504201680672,0.1596638655462185,0.02,"[-0.13, 0.16]",False,No clear difference,0.32643814419905287,120,+0.33 (n=120),16.7%,14.2%,69.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Terminology precision,terminology_precision,Random actor-balanced A/B-coded sample,120,7,-0.0084033613445378,-0.1260504201680672,0.0756302521008403,-0.01,"[-0.13, 0.08]",False,No clear difference,0.39758026030108107,120,+0.40 (n=120),20.0%,20.8%,59.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which translation uses more domain-appropriate terminology?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Numeric/factual fidelity,numeric_factual_fidelity,Random actor-balanced A/B-coded sample,120,7,0.0,0.0,0.0,0.00,"[0.00, 0.00]",False,No clear difference,0.09366542829647283,120,+0.09 (n=120),0.8%,0.8%,98.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
